Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
LEDDriver1 7SEGDriver1 ,2,"MAX6951CEE+","SOP64P602X173-17N","https://datasheets.maximintegrated.com/en/ds/MAX6950-MAX6951.pdf","LED Driver 64Segment 3.3V/5V","1.73","Maxim Integrated","MAX6951CEE+","700-MAX6951CEE","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/MAX6951CEE%2b?qs=1THa7WoU59G039lytpTsUQ%3D%3D"
C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C18 C19 ,14,"100n","SamacSys_Parts:CAPC2012X95N","~"
C12 C14 C15 ,3,"0.1u","SamacSys_Parts:CAPC2012X95N","~"
C13 ,1,"10u","SamacSys_Parts:CAPC2012X140N","~"
C16 ,1,"250u","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
C17 C20 C23 ,3,"22u","","~"
C21 ,1,"C_Small","","~"
C22 ,1,"10u","","~"
CA0 ,1,"1u","SamacSys_Parts:CAPC1005X55N","~"
CA1 ,1,"10n","SamacSys_Parts:CAPC2012X140N","~"
CSETLED1 CSET7SEG1 ,2,"47p","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","~"
Cbulk1 ,1,"4u7","SamacSys_Parts:CAPPRD200W52D500H1250","~"
GND1 5V1 ,2,"MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad","~"
IC1 ,1,"AZ1085CD-3.3TRG1","AZ1085CD33TRG1","https://www.diodes.com/assets/Datasheets/AZ1085C.pdf","LDO Voltage Regulators LDO BJT HiCurr TO252","2.38","Diodes Inc.","AZ1085CD-3.3TRG1","621-AZ1085CD-3.3TRG1","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1085CD-33TRG1?qs=M%2FOdCRO8QQ1dDSfZXnl9PA%3D%3D"
JTAGHEADER1 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical","~"
LA0 ,1,"39n","Inductor_SMD:L_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~"
LED3V3 ,1,"3V3","LED Lib:XCXZCFBB53W-8VF",""
LED5V1 ,1,"5V","LED Lib:XCXZCFBB53W-8VF",""
R2 R3 ,2,"R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
R4 ,1,"3300","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
R5 ,1,"150","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
R6 ,1,"100","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
R7 ,1,"10","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
RSETLED1 RSET7SEG1 ,2,"47k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
SEG0_LED1 Speaker+1 Speaker-1 SEG1_LED1 SEG2_LED1 SEG3_LED1 SEG4_LED1 SEG5_LED1 SEG6_LED1 SEG7_LED1 SEG0_7SEG1 SEG8_LED1 SEG1_7SEG1 SEG2_7SEG1 SEG3_7SEG1 SEG4_7SEG1 SEG5_7SEG1 SEG6_7SEG1 SEG7_7SEG1 SEG8_7SEG1 ,20,"MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
TL1 TR1 BL1 BR1 ,4,"MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~"
U1 ,1,"STM32L152ZCTx","Package_QFP:LQFP-144_20x20mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00111457.pdf"
U2 ,1,"LM386","SamacSys_Parts:SOP65P490X110-8N","http://www.ti.com/lit/ds/symlink/lm386.pdf"
UART_Tx1 UART_Rx1 HALLSEL[0]1 HALLOUT1 HALLSEL[1]1 HALLSEL[2]1 ,6,"MountingHole_Pad","MountingHole:MountingHole_2.7mm_Pad","~"